"name","magnet_link","Size","File","Age","Seed","Leech","Type"
"Class Rank 2017 720p NF WEBRip DDP5 1 x264 NTG","magnet:?xt=urn:btih:82d2ea2a2358d12f264da26516b21540a710fdaa&dn=Class Rank 2017 720p NF WEBRip DDP5 1 x264 NTG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","2.33 GB","2","10 hours ago","20","4","Movie"
"Big Bad Wolves 2013 LIMITED 1080p BluRay x264 IGUANA","magnet:?xt=urn:btih:9249cde29d892d92cec7ca32ba2251b977081c0a&dn=Big Bad Wolves 2013 LIMITED 1080p BluRay x264 IGUANA&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","7.94 GB","3","10 hours ago","16","42","Movie"
"Class Rank 2017 NF WEBRip DDP2 0 x264 NTG","magnet:?xt=urn:btih:77df79cdbf7770d83a135b138837e71d05048c38&dn=Class Rank 2017 NF WEBRip DDP2 0 x264 NTG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.06 GB","2","10 hours ago","20","3","Movie"
"Class Rank 2017 1080p NF WEBRip DDP5 1 x264 NTG","magnet:?xt=urn:btih:728fcd8c99d9279d2e93a20cc65a2631a21fcc46&dn=Class Rank 2017 1080p NF WEBRip DDP5 1 x264 NTG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","3.96 GB","2","10 hours ago","13","20","Movie"
"Things Change 1988 WEBRip 1080p x264","magnet:?xt=urn:btih:b0da81e5e8ca4fc1a71223427c48cfea2b39fd13&dn=Things Change 1988 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.60 GB","2","11 hours ago","204","96","Movie"
"Things Change 1988 WEBRip 720p x264","magnet:?xt=urn:btih:a2030dca8b5ab9350fabed51cc83413fd4437f26&dn=Things Change 1988 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","844.18 MB","2","11 hours ago","159","127","Movie"
"The First Purge 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:eb3e9fd111a73462c9a50fd38c8934c13027b77e&dn=The First Purge 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.57 GB","2","11 hours ago","6,000","4,869","Movie"
"Fahrenheit 451 2018 BluRay 720p x264","magnet:?xt=urn:btih:9a7d9a1e044fed00ceb9109a9b03c94bde56ba14&dn=Fahrenheit 451 2018 BluRay 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","861.09 MB","2","11 hours ago","1,104","619","Movie"
"Champions 2018 BluRay 1080p x264","magnet:?xt=urn:btih:eb16b8046d05fa01c3d02ecad5b7afad14107a5d&dn=Champions 2018 BluRay 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.99 GB","2","11 hours ago","812","552","Movie"
"The First Purge 2018 WEBRip 720p x264","magnet:?xt=urn:btih:a21360de6430675a855c9127ae14be92360dbc93&dn=The First Purge 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","836.69 MB","2","11 hours ago","7,363","5,507","Movie"
